x,x,x,x,o,o,x,o,o,positive
x,x,x,o,b,o,o,x,b,positive
x,x,o,x,o,x,x,o,o,positive
x,o,x,x,b,o,x,b,o,positive
x,o,o,x,o,x,x,b,b,positive
x,o,b,x,o,b,x,x,o,positive
x,b,b,x,o,o,x,b,b,positive
o,x,o,x,x,x,b,o,b,positive
o,x,b,b,o,o,x,x,x,positive
o,o,x,b,b,x,b,b,x,positive
o,b,x,b,x,o,x,o,x,positive
b,x,x,o,o,x,o,b,x,positive
b,o,x,x,o,x,o,b,x,positive
b,o,o,b,o,x,x,x,x,positive
b,b,o,o,o,x,x,x,x,positive
b,b,b,b,o,o,x,x,x,positive
x,x,o,x,x,o,o,b,o,negative
x,x,o,o,o,b,o,x,x,negative
x,x,b,o,o,o,x,b,b,negative
x,o,x,b,o,x,b,o,b,negative
x,b,x,x,o,x,o,o,o,negative
x,b,o,x,o,b,o,x,b,negative
x,b,o,x,o,b,o,b,x,negative
x,b,o,x,b,o,b,x,o,negative
x,b,b,b,x,x,o,o,o,negative
o,x,x,o,x,b,o,b,b,negative
o,x,o,x,x,o,x,b,o,negative
o,o,o,x,x,b,x,o,x,negative
o,o,o,x,x,b,x,b,b,negative
o,b,b,x,o,b,x,x,o,negative
b,o,x,b,o,x,x,o,b,negative
b,o,x,b,o,b,x,o,x,negative
x,x,o,o,x,x,x,o,o,negative
x,x,o,o,o,x,x,x,o,negative
x,x,o,o,o,x,x,o,x,negative
x,o,x,x,x,o,o,x,o,negative
x,o,x,x,o,x,o,x,o,negative
x,o,x,x,o,o,o,x,x,negative
x,o,x,o,x,x,o,x,o,negative
x,o,x,o,o,x,x,x,o,negative
x,o,o,o,x,x,x,x,o,negative
o,x,x,x,x,o,o,o,x,negative
o,x,x,x,o,o,x,o,x,negative
o,x,x,x,o,o,o,x,x,negative
o,x,o,x,x,o,x,o,x,negative
o,x,o,x,o,x,x,o,x,negative
o,x,o,o,x,x,x,o,x,negative
o,o,x,x,x,o,o,x,x,negative
b,b,b,b,b,b,b,b,x,negative
b,b,b,b,b,b,b,o,x,negative
b,b,b,b,b,b,o,x,b,negative
b,b,b,b,b,o,x,b,b,negative
b,b,b,b,b,b,x,o,x,negative
b,b,b,b,b,o,b,x,x,negative
b,b,b,b,b,b,o,x,x,negative
b,b,b,b,b,b,x,x,o,negative
b,b,b,b,b,o,x,b,x,negative
b,b,b,b,b,x,b,o,x,negative
b,b,b,b,b,o,x,o,x,negative
b,b,b,b,b,o,o,x,x,negative
b,b,b,b,b,o,o,x,x,negative
b,b,b,b,b,o,x,x,o,negative
b,b,b,b,b,o,x,o,x,negative
b,b,b,b,b,x,o,o,x,negative
